name,brand,category,basePrice,mrp,stockQty,description,imageUrlList
Printland PMR1896 Ceramic Mug,SwiftBrand,Coffee Mugs,299.00,650.00,16,Printland PMR1896 Ceramic Mug (350 ml)                          Price: Rs. 299 				 			Printland coffee mug is an adorable and a fantastic coffee mug. One can enjoy their morning coffee/tea in this huge mug. It is made of ceramic material. It is a perfect add on to your kitchen wardrobe. It looks very stylish & elegant to serve tea/coffee in this mug during a casual get together at home. It is also a perfect gift to be presented to your loved one. Printland coffee mug is an adorable and a fantastic coffee mug. One can enjoy their morning coffee/tea in this huge mug. It is made of ceramic material. It is a perfect add on to your kitchen wardrobe. It looks very stylish & elegant to serve tea/coffee in this mug during a casual get together at home. It is also a perfect gift to be presented to your loved one.,http://img6a.flixcart.com/image/mug/8/b/b/1-printland-pmr1896-1100x1100-imaebyf4czmma3rj.jpeg|http://img6a.flixcart.com/image/mug/8/b/b/1-printland-pmr1896-original-imaebyf4czmma3rj.jpeg
Parron Men's Printed Casual Shirt,Slim,Men's Clothing,699.00,1449.00,80,Parron Men's Printed Casual Shirt                          Price: Rs. 699 				 			Parron White And Brown Floral Printed Slim Fit Casual Shirt With Plain Matching Sleeves Parron White And Brown Floral Printed Slim Fit Casual Shirt With Plain Matching Sleeves,http://img6a.flixcart.com/image/shirt/q/u/5/v054701-parron-xxl-original-imaedcrqzubkktha.jpeg|http://img5a.flixcart.com/image/shirt/q/u/5/v054701-parron-xxl-original-imaedcrqc4e6gpgj.jpeg|http://img6a.flixcart.com/image/shirt/q/u/5/v054701-parron-xxl-original-imaedcrqvhab83hf.jpeg|http://img5a.flixcart.com/image/shirt/q/u/5/v054701-parron-xxl-original-imaedcrqpyjhzwwa.jpeg|http://img5a.flixcart.com/image/shirt/q/u/5/v054701-parron-xxl-original-imaedcrqhnz2urfy.jpeg
Goodwill Impex Printed Women's Tunic,SwiftBrand,Women's Clothing,499.00,1200.00,58,Goodwill Impex Printed Women's Tunic - Buy Black Goodwill Impex Printed Women's Tunic For Only Rs. 1200 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,http://img5a.flixcart.com/image/tunic/n/v/n/1-1-gw405-goodwill-impex-xs-original-imaebj9zq5zqqvsz.jpeg|http://img6a.flixcart.com/image/tunic/n/v/n/1-1-gw405-goodwill-impex-xs-original-imaebj9zq5zqqvsz.jpeg|http://img6a.flixcart.com/image/tunic/n/v/n/1-1-gw405-goodwill-impex-xs-original-imaebj9zxf8zekwx.jpeg|http://img6a.flixcart.com/image/tunic/n/v/n/1-1-gw405-goodwill-impex-xs-original-imaebj9zgzefzchw.jpeg|http://img5a.flixcart.com/image/tunic/n/v/n/1-1-gw405-goodwill-impex-xs-original-imaebj9zbduthygs.jpeg
AdroitZ PREMIUM Orange & Black Bike Body Cover For Hero Glamour Two Wheeler Cover,AdroitZ,Accessories & Spare parts,211.00,699.00,29,"Key Features of AdroitZ PREMIUM Orange & Black Bike Body Cover For Hero Glamour Two Wheeler Cover 100% New Brand Sylish Look Easy To Use Easy To Fit,AdroitZ PREMIUM Orange & Black Bike Body Cover For Hero Glamour Two Wheeler Cover (Black, Orange) Price: Rs. 249 Description:- Bike covers are indispensible products of service that protect your bike from dust and scratches.Bike covers help prolong the beauty of the bike while protecting it from the harsh weather conditions. A must have product for a real bike lover who wants to keep their bike in new like condition Features: Easy to fit High Quality Fabric Water and heat resistant Covers entire body of the bike Extremely lightweight and durable Tie-strap mechanism to hold cover in place Twin Black,Orange color makes cover attractive and a must have product for your bike Package Content: 1 X AdroitZ Sporty Champion Bike Body Cover .,Specifications of AdroitZ PREMIUM Orange & Black Bike Body Cover For Hero Glamour Two Wheeler Cover (Black, Orange) General Brand AdroitZ Strap Type Elastic, Tie Strap Vehicle Model Name CBZ Extreme Model Number PREMIUM Orange & Black Bike Body Cover For Hero Glamour Shade Black, Orange Vehicle Brand Hero Vehicle Model Year 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015 Material Polypropylene Color Black, Orange In the Box 1 Two Wheeler Cover",http://img6a.flixcart.com/image/two-wheeler-cover/8/5/z/premium-orange-black-bike-body-cover-for-suzuki-gs150r-adroitz-original-imaegvhgzqh4zpvf.jpeg|http://img5a.flixcart.com/image/two-wheeler-cover/8/5/z/premium-orange-black-bike-body-cover-for-suzuki-gs150r-adroitz-original-imaegvhgzqh4zpvf.jpeg|http://img5a.flixcart.com/image/two-wheeler-cover/8/5/z/premium-orange-black-bike-body-cover-for-suzuki-gs150r-adroitz-original-imaegvhgc72qrz5m.jpeg|http://img6a.flixcart.com/image/two-wheeler-cover/8/5/z/premium-orange-black-bike-body-cover-for-suzuki-gs150r-adroitz-original-imaegvhgttuehzqu.jpeg|http://img6a.flixcart.com/image/two-wheeler-cover/8/5/z/premium-orange-black-bike-body-cover-for-suzuki-gs150r-adroitz-original-imaegvhgbvp7fykn.jpeg
Jewelizer Bohemian Yellow Gold Plated Alloy Necklace,Jewelizer,Necklaces & Chains,399.00,1099.00,55,Jewelizer Bohemian Yellow Gold Plated Alloy Necklace                          Price: Rs. 399 				 			Make an edgy statement with this necklace. Make an edgy statement with this necklace.,http://img6a.flixcart.com/image/necklace-chain/d/s/7/fkj-s13n0023-jewelizer-necklace-original-imaececyxzapnzum.jpeg|http://img6a.flixcart.com/image/necklace-chain/d/s/7/fkj-s13n0023-jewelizer-necklace-original-imaececy5guf9ms7.jpeg
Allure Auto CM 430 Car Mat Chevrolet Cruze,Allure Auto,Accessories & Spare parts,920.00,2800.00,20,Buy Allure Auto CM 430 Car Mat Chevrolet Cruze for Rs.920 online. Allure Auto CM 430 Car Mat Chevrolet Cruze at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,http://img5a.flixcart.com/image/car-mat/8/x/k/tata-nano-rubber-mats-grey-allure-auto-cm-543-1100x1100-imaecjxkgfhnb3hq.jpeg|http://img5a.flixcart.com/image/car-mat/8/x/k/tata-nano-rubber-mats-grey-allure-auto-cm-543-original-imaecjxkgfhnb3hq.jpeg
Zephyr Boat Shoes,SwiftBrand,Women's Footwear,499.00,1149.00,62,Zephyr Boat Shoes - Buy Zephyr Boat Shoes - ZW-111 only for Rs. 499 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,http://img6a.flixcart.com/image/shoe/p/s/e/green-zw-111-zephyr-38-original-imaeczmgvkhgagkw.jpeg|http://img5a.flixcart.com/image/shoe/p/s/e/green-zw-111-zephyr-38-original-imaeczmgurzpumbc.jpeg|http://img6a.flixcart.com/image/shoe/p/s/e/green-zw-111-zephyr-38-original-imaeczmgfnzvyqfb.jpeg|http://img5a.flixcart.com/image/shoe/p/s/e/green-zw-111-zephyr-38-original-imaeczmhgeubmytp.jpeg|http://img5a.flixcart.com/image/shoe/p/s/e/green-zw-111-zephyr-37-original-imaeczmhv5ngdedh.jpeg
LittleThings Coconut Fridge Magnet,LittleThings,Wall Decor & Clocks,300.00,300.00,15,"Key Features of LittleThings Coconut Fridge Magnet Material: Polyresin Finish: matt Height: 5 cm Color: Green,LittleThings Coconut Fridge Magnet (Pack of 1, Green) Price: Rs. 300 """"Go nuts over coconuts. The not-so-tender coconut that is good for health. Yes, especially if you don’t eat or drink it then it’s even better for your health. Product specification: * Green coconut with a straw * Measures around 2 inch in height and 1 inch width and weighs less than 20gm. * Priced at Rs. 300/-.,Specifications of LittleThings Coconut Fridge Magnet (Pack of 1, Green) General Brand LittleThings Brand Color green Model Number 00117 Type Fridge Magnet Material Polyresin Model Name Coconut Finish matt Stain Resistant Yes Color Green Dimensions Weight 25 g Height 5 cm Width 5 cm In the Box Pack of 1 Additional Features Handmade Yes",http://img5a.flixcart.com/image/magnet/z/6/n/00117-littlethings-original-imaegff2gnjka5vq.jpeg|http://img6a.flixcart.com/image/magnet/z/6/n/00117-littlethings-original-imaegff2gnjka5vq.jpeg|http://img6a.flixcart.com/image/magnet/z/6/n/00117-littlethings-original-imaegff2s4n2vzn2.jpeg
Tia by Ten on Ten Styla Women's Push-up Bra,Beige,Women's Clothing,290.00,599.00,76,Tia by Ten on Ten Styla Women's Push-up Bra                          Price: Rs. 290 				 			A smart push up bra in skin colour for a great feel and sexy look. Comfortable and yet stylish. A smart push up bra in skin colour for a great feel and sexy look. Comfortable and yet stylish.,http://img5a.flixcart.com/image/bra/j/h/m/utbra-1-tia-by-ten-on-ten-36a-original-imae6g46djatehfe.jpeg|http://img6a.flixcart.com/image/bra/j/h/m/utbra-1-tia-by-ten-on-ten-36a-original-imae6g46kafpypdy.jpeg|http://img6a.flixcart.com/image/bra/j/h/m/utbra-1-tia-by-ten-on-ten-32b-original-imae6g46bkrjn2zc.jpeg|http://img6a.flixcart.com/image/bra/j/h/m/utbra-1-tia-by-ten-on-ten-36a-original-imae6g46czxkpfad.jpeg
Rainfun RF1003 Umbrella,Rainfun,School Supplies,325.00,699.00,67,"Key Features of Rainfun RF1003 Umbrella Ideal For: Girls, Boys Size: 14 inch Foldable,Rainfun RF1003 Umbrella (MultiColor) Price: Rs. 325 Rainfun presents the premium products which is touch the perfection with a positive attitude.A good attractive quality umbrella for you in all weather your right partner.Features:Canopy Material: 190 T Polyester.Handle Material: Plastic.single fold umbrella present as a friend in coming summer and rainy season.attactive look and design according new trend and new fashion.its play a best friend role for coming summer and rainy season.,Specifications of Rainfun RF1003 Umbrella (MultiColor) General Foldable Yes Series Fashion Ideal For Girls, Boys Occasion Casual Size 14 inch Dimensions Weight 100 g In the Box Number of Contents in Sales Package Pack of 1 Sales Package Umbrella Body Features Canopy Material 190 T Polyester Additional Features Print and color of product may be change according stock availbility",http://img5a.flixcart.com/image/umbrella/8/g/b/rainfun-rf1003-14-original-imaeg9j9z6yhg5a7.jpeg|http://img6a.flixcart.com/image/umbrella/8/g/b/rainfun-rf1003-14-original-imaeg9j9z6yhg5a7.jpeg|http://img6a.flixcart.com/image/umbrella/8/g/b/rainfun-rf1003-14-original-imaeg9jaa6hgzpuq.jpeg|http://img6a.flixcart.com/image/umbrella/8/g/b/rainfun-rf1003-14-original-imaeg9jahzhqt75u.jpeg
Ninja Turtles Printed Men's Polo T-Shirt,SwiftBrand,Men's Clothing,448.00,749.00,71,Ninja Turtles Printed Men's Polo T-Shirt - Buy Dark Red Ninja Turtles Printed Men's Polo T-Shirt For Only Rs. 749 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,http://img5a.flixcart.com/image/t-shirt/e/z/u/hst-1001-dark-red-f-ninja-turtles-m-original-imaeffbyfgfmtupb.jpeg|http://img6a.flixcart.com/image/t-shirt/e/z/u/hst-1001-dark-red-f-ninja-turtles-m-original-imaeffbyfgfmtupb.jpeg|http://img5a.flixcart.com/image/t-shirt/e/z/u/hst-1001-dark-red-f-ninja-turtles-m-original-imaeffbywcxgbkxt.jpeg|http://img6a.flixcart.com/image/t-shirt/e/z/u/hst-1001-dark-red-f-ninja-turtles-s-original-imaeffbypgchxteh.jpeg|http://img5a.flixcart.com/image/t-shirt/e/z/u/hst-1001-dark-red-f-ninja-turtles-s-original-imaeffbyrnymbsdr.jpeg
